Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
HP1508501T2D_N19 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0018499676255665527)	(17, 0.0018499676255665527)	(18, 0.0018499676255665527)	(19, 0.0018499676255665527)	(20, 0.0018499676255665527)	(21, 0.0018499676255665527)	(22, 0.0018499676255665527)	(23, 0.0036999352511331053)	(24, 0.0036999352511331053)	(25, 0.0036999352511331053)	(26, 0.005549902876699658)	(27, 0.024049579132365183)	(28, 0.05734899639256313)	(29, 0.12024789566182592)	(30, 0.1905466654333549)	(31, 0.4143927481269078)	(32, 0.7288872444732217)
HP1508501T2D_N19 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0018499676255665527)	(7, 0.0018499676255665527)	(8, 0.0018499676255665527)	(9, 0.0018499676255665527)	(10, 0.005549902876699658)	(11, 0.007399870502266211)	(12, 0.011099805753399316)	(13, 0.020349643881232077)	(14, 0.022199611506798632)	(15, 0.025899546757931737)	(16, 0.040699287762464155)	(17, 0.048099158264730366)	(18, 0.05734899639256313)	(19, 0.06474886689482934)	(20, 0.07214873739709556)	(21, 0.0739987050226621)	(22, 0.07954860789936176)	(23, 0.07954860789936176)	(24, 0.08694847840162798)	(25, 0.09619831652946073)	(26, 0.1017482194061604)	(27, 0.11654796041069282)	(28, 0.13319766904079178)	(29, 0.13874757191749143)	(30, 0.14614744241975766)	(31, 0.15169734529645731)	(32, 0.16094718342429007)
HP1508501T2D_N2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 5.831264206417423e-05)	(6, 5.831264206417423e-05)	(7, 0.00011662528412834846)	(8, 0.00011662528412834846)	(9, 0.0002332505682566969)	(10, 0.0002915632103208711)	(11, 0.0003498758523850454)	(12, 0.0004081884944492196)	(13, 0.0004081884944492196)	(14, 0.0004665011365133938)	(15, 0.0006997517047700908)	(16, 0.0008163769888984392)	(17, 0.0011079401992193103)	(18, 0.0011079401992193103)	(19, 0.0011662528412834845)	(20, 0.0013411907674760074)	(21, 0.0018660045460535753)	(22, 0.002565756250823666)	(23, 0.0031488826714654084)	(24, 0.004373448154813067)	(25, 0.005073199859583158)	(26, 0.007114142331829256)	(27, 0.019243171881177495)	(28, 0.05854589263243093)	(29, 0.11306821296243383)	(30, 0.18485107534343231)	(31, 0.3819478055203412)	(32, 0.6812082845936833)
HP1508501T2D_N2 - polya	(1, 0.0023908183246311434)	(2, 0.0034987585238504537)	(3, 0.004490073438941416)	(4, 0.005714638922289074)	(5, 0.00909677216201118)	(6, 0.011545903128706497)	(7, 0.013761783527145117)	(8, 0.016444165062097133)	(9, 0.018951608670856625)	(10, 0.03294664276625844)	(11, 0.046650113651339385)	(12, 0.0699168578349449)	(13, 0.09516623184873234)	(14, 0.1269466217737073)	(15, 0.17394661127743172)	(16, 0.21645652734221474)	(17, 0.24870341840370308)	(18, 0.28421581742078517)	(19, 0.31646270848227354)	(20, 0.3496426018167887)	(21, 0.3792654239853892)	(22, 0.40737211746032115)	(23, 0.4374614407654351)	(24, 0.46626788594513713)	(25, 0.49968102984790896)	(26, 0.5351351162229269)	(27, 0.5634750602661156)	(28, 0.5948472616966413)	(29, 0.6203881989207496)	(30, 0.6491363314583876)	(31, 0.6759018341658435)	(32, 0.7009179576113742)
HP1508501T2D_N20 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000396435254194285)	(21, 0.00079287050838857)	(22, 0.001189305762582855)	(23, 0.00158574101677714)	(24, 0.002775046779359995)	(25, 0.003567917287748565)	(26, 0.0059465288129142745)	(27, 0.020218197963908533)	(28, 0.09316228473565698)	(29, 0.1875138752338968)	(30, 0.30010148742507375)	(31, 0.6438108528115188)	(32, 1.221417018172592)
HP1508501T2D_N21 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.9023808486559012e-05)	(5, 1.9023808486559012e-05)	(6, 1.9023808486559012e-05)	(7, 1.9023808486559012e-05)	(8, 1.9023808486559012e-05)	(9, 5.707142545967704e-05)	(10, 5.707142545967704e-05)	(11, 7.609523394623605e-05)	(12, 0.00011414285091935408)	(13, 0.00011414285091935408)	(14, 0.00011414285091935408)	(15, 0.00013316665940591308)	(16, 0.00022828570183870816)	(17, 0.0003994999782177393)	(18, 0.0004375475951908573)	(19, 0.00047559521216397534)	(20, 0.0005897380630833294)	(21, 0.0007799761479489195)	(22, 0.0010272856582741866)	(23, 0.0015409284874112802)	(24, 0.002454071294766113)	(25, 0.0030818569748225604)	(26, 0.004698880696180076)	(27, 0.016683880042712255)	(28, 0.05731873497000231)	(29, 0.1221138266752223)	(30, 0.21500708351508996)	(31, 0.5179612336635423)	(32, 0.9914638268939961)
HP1508501T2D_N21 - polya	(1, 0.0007799761479489195)	(2, 0.0010843570837338638)	(3, 0.001312642785572572)	(4, 0.0016360475298440751)	(5, 0.002815523656010734)	(6, 0.0037286664633655667)	(7, 0.004546690228287604)	(8, 0.005707142545967704)	(9, 0.007000761523053717)	(10, 0.011433308900421968)	(11, 0.015219046789247211)	(12, 0.021268617887972976)	(13, 0.029372760303247116)	(14, 0.03821883124949706)	(15, 0.050926735318518476)	(16, 0.06264540134623883)	(17, 0.07267094841865543)	(18, 0.08737635237876555)	(19, 0.09772530419545365)	(20, 0.10908251786192938)	(21, 0.12021144582656641)	(22, 0.13116915951482438)	(23, 0.14355365883957433)	(24, 0.15434015825145328)	(25, 0.16609687189614675)	(26, 0.17964182353857677)	(27, 0.1899337039298052)	(28, 0.20161432234055243)	(29, 0.21217253605059266)	(30, 0.22514677343842593)	(31, 0.23760736799712207)	(32, 0.24961139115214082)
HP1508501T2D_N22 - nextera_transposase_sequence	(1, 7.575809229002319e-05)	(2, 0.00022727427687006956)	(3, 0.00022727427687006956)	(4, 0.00022727427687006956)	(5, 0.00022727427687006956)	(6, 0.00022727427687006956)	(7, 0.00022727427687006956)	(8, 0.00022727427687006956)	(9, 0.00022727427687006956)	(10, 0.00037879046145011596)	(11, 0.00037879046145011596)	(12, 0.0004545485537401391)	(13, 0.0004545485537401391)	(14, 0.0004545485537401391)	(15, 0.0006060647383201855)	(16, 0.0007575809229002319)	(17, 0.0009090971074802782)	(18, 0.0009090971074802782)	(19, 0.0009090971074802782)	(20, 0.0009848551997703014)	(21, 0.0010606132920603247)	(22, 0.001590919938090487)	(23, 0.002651533230150812)	(24, 0.004621243629691414)	(25, 0.006136405475491879)	(26, 0.009090971074802784)	(27, 0.03068202737745939)	(28, 0.08772787087184686)	(29, 0.1639405117156102)	(30, 0.28174434522659625)	(31, 0.7128078903568282)	(32, 1.326675712182886)
HP1508501T2D_N22 - polya	(1, 0.002803049414730858)	(2, 0.0037879046145011595)	(3, 0.004924275998851507)	(4, 0.006666712121522041)	(5, 0.012803117597013918)	(6, 0.01901528116479582)	(7, 0.02257591150242691)	(8, 0.02780321987043851)	(9, 0.03181839876180974)	(10, 0.05386400361820649)	(11, 0.07431868853651274)	(12, 0.10113705320718096)	(13, 0.13931913172135266)	(14, 0.17825879115842458)	(15, 0.23575918320655218)	(16, 0.2891686382710185)	(17, 0.3400780762899141)	(18, 0.39780574261491175)	(19, 0.44144240377396515)	(20, 0.4847760325638584)	(21, 0.5304581622147424)	(22, 0.5753069528504361)	(23, 0.6235648576391809)	(24, 0.6757621832270069)	(25, 0.7288686059223131)	(26, 0.7823538190790694)	(27, 0.8303844495909442)	(28, 0.8837939046554105)	(29, 0.9371276016275869)	(30, 0.9884915882002225)	(31, 1.0407646718803385)	(32, 1.0821285902706912)
HP1508501T2D_N23 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 8.174890333846171e-05)	(8, 8.174890333846171e-05)	(9, 0.00016349780667692342)	(10, 0.00024524671001538515)	(11, 0.00040874451669230857)	(12, 0.000572242323369232)	(13, 0.0006539912267076937)	(14, 0.0006539912267076937)	(15, 0.0008174890333846171)	(16, 0.0009809868400615406)	(17, 0.001144484646738464)	(18, 0.0013079824534153873)	(19, 0.001389731356753849)	(20, 0.0016349780667692343)	(21, 0.001716726970107696)	(22, 0.0022072203901384664)	(23, 0.002534216003492313)	(24, 0.0035152028435538538)	(25, 0.004169194070261548)	(26, 0.005640674330353858)	(27, 0.017003771894400038)	(28, 0.06163867311720013)	(29, 0.13553968173516953)	(30, 0.23625433064815435)	(31, 0.5890008485536167)	(32, 1.06657794185691)
HP1508501T2D_N23 - polya	(1, 0.0006539912267076937)	(2, 0.0007357401300461554)	(3, 0.0008992379367230789)	(4, 0.001144484646738464)	(5, 0.0017984758734461577)	(6, 0.002534216003492313)	(7, 0.0030247094235230833)	(8, 0.0033517050368769303)	(9, 0.004005696263584624)	(10, 0.006376414460400014)	(11, 0.008828881560553866)	(12, 0.01291632672747695)	(13, 0.017821260927784653)	(14, 0.023707181968153898)	(15, 0.03261781243204622)	(16, 0.042182434122646245)	(17, 0.048722346389723184)	(18, 0.05795997246696936)	(19, 0.06564436938078476)	(20, 0.073655761907954)	(21, 0.07896944062495402)	(22, 0.08657208863543095)	(23, 0.09425648554924636)	(24, 0.10210438026973868)	(25, 0.10995227499023101)	(26, 0.12017088790753871)	(27, 0.12711954469130796)	(28, 0.13570317954184644)	(29, 0.1426518363256157)	(30, 0.14927349749603108)	(31, 0.1571213922165234)	(32, 0.16243507093352344)
HP1508501T2D_N24 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00013582010898205546)	(10, 0.0002716402179641109)	(11, 0.0002716402179641109)	(12, 0.0002716402179641109)	(13, 0.0002716402179641109)	(14, 0.0002716402179641109)	(15, 0.0002716402179641109)	(16, 0.0004074603269461663)	(17, 0.0006791005449102772)	(18, 0.0008149206538923327)	(19, 0.0008149206538923327)	(20, 0.0008149206538923327)	(21, 0.0008149206538923327)	(22, 0.001222380980838499)	(23, 0.00298804239760522)	(24, 0.0040746032694616635)	(25, 0.0050253440323360515)	(26, 0.006519365231138661)	(27, 0.023089418526949426)	(28, 0.08733233007546165)	(29, 0.1847153482155954)	(30, 0.30858328760723)	(31, 0.6656543541210538)	(32, 1.2921925168552755)
HP1508501T2D_N3 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.001366008250689834)	(13, 0.001366008250689834)	(14, 0.001366008250689834)	(15, 0.002732016501379668)	(16, 0.004098024752069503)	(17, 0.006830041253449171)	(18, 0.006830041253449171)	(19, 0.009562057754828839)	(20, 0.010928066005518672)	(21, 0.010928066005518672)	(22, 0.017758107258967846)	(23, 0.019124115509657678)	(24, 0.03278419801655602)	(25, 0.040980247520695026)	(26, 0.04917629702483403)	(27, 0.0683004125344917)	(28, 0.12840477556484442)	(29, 0.22675736961451248)	(30, 0.4234625577138486)	(31, 0.7717946616397563)	(32, 1.4151845477146683)
HP1508501T2D_N3 - polya	(1, 0.017758107258967846)	(2, 0.03551621451793569)	(3, 0.040980247520695026)	(4, 0.05873835477966287)	(5, 0.11747670955932574)	(6, 0.18987514684588694)	(7, 0.23905144387072097)	(8, 0.3032538316531432)	(9, 0.3865803349452231)	(10, 0.6584159768325001)	(11, 1.0668524437887605)	(12, 1.6323798595743517)	(13, 2.176051143348906)	(14, 2.9451137884872827)	(15, 4.1335409665874385)	(16, 5.048766494549627)	(17, 5.666202223861432)	(18, 6.3027620686828945)	(19, 6.928393847498839)	(20, 7.420156817747179)	(21, 7.932409911755867)	(22, 8.398218725241101)	(23, 8.885883670737371)	(24, 9.335300385214326)	(25, 9.816135289457149)	(26, 10.389858754746879)	(27, 10.852935551730733)	(28, 11.3679206622408)	(29, 11.769527087943612)	(30, 12.229871868426086)	(31, 12.51946561757233)	(32, 12.815889407972024)
HP1508501T2D_N4 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.3597634726515254e-05)	(9, 6.719526945303051e-05)	(10, 6.719526945303051e-05)	(11, 6.719526945303051e-05)	(12, 0.00020158580835909153)	(13, 0.00020158580835909153)	(14, 0.00023518344308560678)	(15, 0.00023518344308560678)	(16, 0.0005375621556242441)	(17, 0.001209514850154549)	(18, 0.0013775030237871255)	(19, 0.001579088832146217)	(20, 0.001847869909958339)	(21, 0.0024526273350356136)	(22, 0.0035949469157371323)	(23, 0.004905254670071227)	(24, 0.006954710388388657)	(25, 0.00806343233436366)	(26, 0.01112081709447655)	(27, 0.024660663889262194)	(28, 0.07458674909286386)	(29, 0.14682166375487166)	(30, 0.24435559736594545)	(31, 0.5387716704743986)	(32, 0.996741029431528)
HP1508501T2D_N4 - polya	(1, 0.0009071361376159118)	(2, 0.0011423195807015187)	(3, 0.0013439053890606102)	(4, 0.0020830533530439457)	(5, 0.003729337454643193)	(6, 0.0051404381131568335)	(7, 0.0061483671549522915)	(8, 0.007425077274559871)	(9, 0.009104959010885634)	(10, 0.0162948528423599)	(11, 0.02603816691304932)	(12, 0.038536487031312995)	(13, 0.053117860502620615)	(14, 0.0711261927160328)	(15, 0.09887783900013439)	(16, 0.12447923666173902)	(17, 0.14258836177933074)	(18, 0.16580432737535278)	(19, 0.18465260045692783)	(20, 0.20289611611342562)	(21, 0.22120682703937644)	(22, 0.23881198763607042)	(23, 0.2572570891009273)	(24, 0.27634054562558796)	(25, 0.2954240021502486)	(26, 0.3206222281951351)	(27, 0.33933611073780406)	(28, 0.3608385969627738)	(29, 0.3794180889665368)	(30, 0.39913990055100124)	(31, 0.4160395108184384)	(32, 0.43162881333154146)
HP1508501T2D_N5 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0019210819533561302)	(13, 0.0019210819533561302)	(14, 0.0019210819533561302)	(15, 0.0019210819533561302)	(16, 0.0019210819533561302)	(17, 0.0019210819533561302)	(18, 0.0019210819533561302)	(19, 0.0019210819533561302)	(20, 0.0038421639067122604)	(21, 0.005763245860068391)	(22, 0.007684327813424521)	(23, 0.011526491720136782)	(24, 0.011526491720136782)	(25, 0.013447573673492912)	(26, 0.023052983440273563)	(27, 0.04226380297383486)	(28, 0.11334383524801168)	(29, 0.18826603142890075)	(30, 0.31121527644369307)	(31, 0.574403504053483)	(32, 1.0008836976985438)
HP1508501T2D_N5 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0019210819533561302)	(6, 0.005763245860068391)	(7, 0.009605409766780652)	(8, 0.011526491720136782)	(9, 0.011526491720136782)	(10, 0.02497406539362969)	(11, 0.04418488492719099)	(12, 0.05955354055404004)	(13, 0.08452760594766973)	(14, 0.11718599915472394)	(15, 0.16329196603527107)	(16, 0.20171360510239367)	(17, 0.24974065393629694)	(18, 0.27855688323663885)	(19, 0.324662850117186)	(20, 0.35347907941752793)	(21, 0.3746109809044454)	(22, 0.39958504629807506)	(23, 0.4456910131786222)	(24, 0.4841126522457448)	(25, 0.5110077995927306)	(26, 0.5475083567064971)	(27, 0.56095593037999)	(28, 0.5916932416336881)	(29, 0.6128251431206055)	(30, 0.649325700234372)	(31, 0.6704576017212894)	(32, 0.6877473393014946)
HP1508501T2D_N6 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00016703274677000427)	(11, 0.00016703274677000427)	(12, 0.00016703274677000427)	(13, 0.00016703274677000427)	(14, 0.00016703274677000427)	(15, 0.00016703274677000427)	(16, 0.00033406549354000854)	(17, 0.0006681309870800171)	(18, 0.0006681309870800171)	(19, 0.0008351637338500213)	(20, 0.0010021964806200255)	(21, 0.00116922922739003)	(22, 0.0018373602144700469)	(23, 0.00233845845478006)	(24, 0.0028395566950900723)	(25, 0.0036747204289400938)	(26, 0.00467691690956012)	(27, 0.017705471157620452)	(28, 0.06564386948061167)	(29, 0.1331250991756934)	(30, 0.22065025848317563)	(31, 0.47253564061234204)	(32, 0.8759197240619023)
HP1508501T2D_N6 - polya	(1, 0.00016703274677000427)	(2, 0.00016703274677000427)	(3, 0.00016703274677000427)	(4, 0.00033406549354000854)	(5, 0.0008351637338500213)	(6, 0.0008351637338500213)	(7, 0.0008351637338500213)	(8, 0.0010021964806200255)	(9, 0.0010021964806200255)	(10, 0.002505491201550064)	(11, 0.0036747204289400938)	(12, 0.005679113390180145)	(13, 0.00901976832558023)	(14, 0.011692292273900298)	(15, 0.01687030742377043)	(16, 0.021380191586560546)	(17, 0.027727435963820705)	(18, 0.03307248386046084)	(19, 0.03858456450387098)	(20, 0.04392961240051112)	(21, 0.04860652931007124)	(22, 0.05411860995348138)	(23, 0.060799919824281554)	(24, 0.06848342617570174)	(25, 0.07516473604650192)	(26, 0.0825141769043821)	(27, 0.08652296282686221)	(28, 0.09270317445735236)	(29, 0.09888338608784251)	(30, 0.10706799067957273)	(31, 0.11308116956329288)	(32, 0.117591053726083)
HP1508501T2D_N7 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00014326237070571044)	(10, 0.00014326237070571044)	(11, 0.00014326237070571044)	(12, 0.00014326237070571044)	(13, 0.00014326237070571044)	(14, 0.0002865247414114209)	(15, 0.00042978711211713133)	(16, 0.0007163118535285522)	(17, 0.001289361336351394)	(18, 0.0015758860777628147)	(19, 0.0017191484484685253)	(20, 0.0018624108191742357)	(21, 0.0024354603019970775)	(22, 0.003008509784819919)	(23, 0.003581559267642761)	(24, 0.005730494828228417)	(25, 0.007449643276696943)	(26, 0.008882266983754047)	(27, 0.02593048909773359)	(28, 0.08037018996590356)	(29, 0.15586945932781296)	(30, 0.2627431878742729)	(31, 0.5982636600670468)	(32, 1.1432337182315693)
HP1508501T2D_N7 - polya	(1, 0.0010028365949399732)	(2, 0.0018624108191742357)	(3, 0.0021489355605856567)	(4, 0.0024354603019970775)	(5, 0.005014182974699865)	(6, 0.007019856164579811)	(7, 0.008882266983754047)	(8, 0.01002836594939973)	(9, 0.011317727285751124)	(10, 0.01862410819174236)	(11, 0.02936878599467064)	(12, 0.043838285435947394)	(13, 0.062032606515572616)	(14, 0.07936735337096358)	(15, 0.1138935847110398)	(16, 0.1441219449299447)	(17, 0.16790349846709263)	(18, 0.19297441334059195)	(19, 0.21303114523939143)	(20, 0.23151199106042808)	(21, 0.24770063895017336)	(22, 0.2648921234348586)	(23, 0.2858084295578923)	(24, 0.30701126042233745)	(25, 0.328500616028194)	(26, 0.351279332970402)	(27, 0.36890060456720436)	(28, 0.3931119452164694)	(29, 0.4088708059940976)	(30, 0.4256325033666657)	(31, 0.44239420073923386)	(32, 0.45772327440474486)
HP1508501T2D_N8 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00018636932062791552)	(16, 0.00037273864125583105)	(17, 0.00037273864125583105)	(18, 0.00037273864125583105)	(19, 0.0005591079618837466)	(20, 0.0007454772825116621)	(21, 0.0009318466031395776)	(22, 0.0013045852443954087)	(23, 0.0020500625269070706)	(24, 0.0031682784506745637)	(25, 0.003913755733186226)	(26, 0.006150187580721212)	(27, 0.020314255948442793)	(28, 0.08442530224444574)	(29, 0.16847786584763563)	(30, 0.2795539809418733)	(31, 0.6124095875833304)	(32, 1.1608944981912857)
HP1508501T2D_N8 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00018636932062791552)	(6, 0.00037273864125583105)	(7, 0.00037273864125583105)	(8, 0.0005591079618837466)	(9, 0.0005591079618837466)	(10, 0.0013045852443954087)	(11, 0.0020500625269070706)	(12, 0.0027955398094187327)	(13, 0.0035410170919303948)	(14, 0.005777448939465381)	(15, 0.00875935806951203)	(16, 0.011554897878930761)	(17, 0.01453680700897741)	(18, 0.020127886627814874)	(19, 0.024228011681629018)	(20, 0.029259983338582735)	(21, 0.03391921635428062)	(22, 0.03690112548432727)	(23, 0.0408148812175135)	(24, 0.047896915401374286)	(25, 0.0540471029820955)	(26, 0.0613155064865842)	(27, 0.06709295542604958)	(28, 0.07305677368614288)	(29, 0.08088428515251533)	(30, 0.08740721137449238)	(31, 0.09598020012337649)	(32, 0.1032486036278652)
HP1508501T2D_N9 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0008445660619573663)	(22, 0.002533698185872099)	(23, 0.004222830309786832)	(24, 0.00675652849565893)	(25, 0.007601094557616297)	(26, 0.010134792743488396)	(27, 0.022803283672848892)	(28, 0.07009898314246141)	(29, 0.15371102327624067)	(30, 0.2432350258437215)	(31, 0.47126786257221037)	(32, 0.8901726293030641)
HP1508501T2D_N9 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0008445660619573663)	(5, 0.0008445660619573663)	(6, 0.0008445660619573663)	(7, 0.0008445660619573663)	(8, 0.002533698185872099)	(9, 0.003378264247829465)	(10, 0.005067396371744198)	(11, 0.005067396371744198)	(12, 0.00929022668153103)	(13, 0.010979358805445762)	(14, 0.019425019425019424)	(15, 0.022803283672848892)	(16, 0.028715246106550456)	(17, 0.035471774602209384)	(18, 0.04391743522178305)	(19, 0.045606567345697784)	(20, 0.04814026553156988)	(21, 0.056585926151143544)	(22, 0.061653322522887744)	(23, 0.06672071889463194)	(24, 0.0726326813283335)	(25, 0.0777000777000777)	(26, 0.08445660619573662)	(27, 0.0954359650011824)	(28, 0.0979696631870545)	(29, 0.10388162562075605)	(30, 0.11655011655011654)	(31, 0.12246207898381811)	(32, 0.12668490929360496)
HP1508501T2D_O1 - nextera_transposase_sequence	(1, 0.0)	(2, 9.931019141046293e-05)	(3, 9.931019141046293e-05)	(4, 9.931019141046293e-05)	(5, 9.931019141046293e-05)	(6, 9.931019141046293e-05)	(7, 9.931019141046293e-05)	(8, 9.931019141046293e-05)	(9, 0.0002979305742313888)	(10, 0.0002979305742313888)	(11, 0.0003972407656418517)	(12, 0.0003972407656418517)	(13, 0.0003972407656418517)	(14, 0.0003972407656418517)	(15, 0.0004965509570523146)	(16, 0.0006951713398732405)	(17, 0.0007944815312837034)	(18, 0.0008937917226941663)	(19, 0.001390342679746481)	(20, 0.0015889630625674069)	(21, 0.0019862038282092583)	(22, 0.002681375168082499)	(23, 0.0029793057423138877)	(24, 0.004568268804881295)	(25, 0.005958611484627775)	(26, 0.008540676461299811)	(27, 0.027210992446466842)	(28, 0.11083017361407663)	(29, 0.23457067211151342)	(30, 0.3841318203756706)	(31, 0.8341062976564781)	(32, 1.4711811755545978)
HP1508501T2D_O1 - polya	(1, 0.004965509570523146)	(2, 0.005462060527575461)	(3, 0.007051023590142868)	(4, 0.008739296844120737)	(5, 0.013804116606054347)	(6, 0.017379283496831013)	(7, 0.01936548732504027)	(8, 0.023039964407227397)	(9, 0.025622029383899434)	(10, 0.042306141540857205)	(11, 0.0634592123112858)	(12, 0.08918055188659571)	(13, 0.12165498447781709)	(14, 0.1537321763033966)	(15, 0.20587002679388963)	(16, 0.24926858044026193)	(17, 0.2828354251369984)	(18, 0.32504225648644514)	(19, 0.36397185151934663)	(20, 0.39932627966147144)	(21, 0.42951657785025216)	(22, 0.46189170025006304)	(23, 0.4986364710719343)	(24, 0.5338915890226487)	(25, 0.5753039388408118)	(26, 0.616120427510512)	(27, 0.6488927906759647)	(28, 0.6857368716892465)	(29, 0.7154306189209749)	(30, 0.7437340234729568)	(31, 0.7663767471145424)	(32, 0.7900125726702326)
HP1508501T2D_O10 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.002864836990775225)	(22, 0.002864836990775225)	(23, 0.00572967398155045)	(24, 0.0114593479631009)	(25, 0.0114593479631009)	(26, 0.025783532916977023)	(27, 0.060161576806279725)	(28, 0.1375121755572108)	(29, 0.24637598120666934)	(30, 0.36383429782845356)	(31, 0.687560877786054)	(32, 1.3579327336274567)
HP1508501T2D_O10 - polya	(1, 0.002864836990775225)	(2, 0.002864836990775225)	(3, 0.002864836990775225)	(4, 0.002864836990775225)	(5, 0.002864836990775225)	(6, 0.002864836990775225)	(7, 0.002864836990775225)	(8, 0.00572967398155045)	(9, 0.00572967398155045)	(10, 0.00572967398155045)	(11, 0.00572967398155045)	(12, 0.0114593479631009)	(13, 0.01718902194465135)	(14, 0.025783532916977023)	(15, 0.02864836990775225)	(16, 0.03151320689852748)	(17, 0.0343780438893027)	(18, 0.0458373918524036)	(19, 0.054431902824729275)	(20, 0.0572967398155045)	(21, 0.06589125078783017)	(22, 0.0687560877786054)	(23, 0.07448576176015585)	(24, 0.0802154357417063)	(25, 0.08880994671403197)	(26, 0.0916747837048072)	(27, 0.09740445768635765)	(28, 0.1031341316679081)	(29, 0.10599896865868332)	(30, 0.11172864264023377)	(31, 0.11745831662178421)	(32, 0.12891766458488513)
HP1508501T2D_O11 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00010382932950133888)	(11, 0.00020765865900267775)	(12, 0.00031148798850401665)	(13, 0.00031148798850401665)	(14, 0.0004153173180053555)	(15, 0.0007268053065093721)	(16, 0.001661269272021422)	(17, 0.002699562567034811)	(18, 0.0028033918965361497)	(19, 0.0030110505555388275)	(20, 0.0036340265325468606)	(21, 0.00467231982756025)	(22, 0.006748906417587027)	(23, 0.009759956973125854)	(24, 0.012251860881157988)	(25, 0.01380930082367807)	(26, 0.01941608461675037)	(27, 0.04236236643654626)	(28, 0.12771007528664682)	(29, 0.25562780923229633)	(30, 0.4190551738674037)	(31, 0.9272997417764576)	(32, 1.6708215703355453)
